Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,May,Serbia,Europe,Southern/Medit. Europe,0
2020,May,Slovenia,Europe,Southern/Medit. Europe,0
2020,May,Spain,Europe,Southern/Medit. Europe,0
2020,May,Turkey,Europe,Southern/Medit. Europe,0
2020,May,Belarus,Europe,Central/Eastern Europe,0
2020,May,Bulgaria,Europe,Central/Eastern Europe,0
2020,May,Czech Republic,Europe,Central/Eastern Europe,0
2020,May,Estonia,Europe,Central/Eastern Europe,0
2020,May,Hungary,Europe,Central/Eastern Europe,0
2020,May,Kazakhstan,Europe,Central/Eastern Europe,0
2020,May,Kyrgyzstan,Europe,Central/Eastern Europe,0
2020,May,Latvia,Europe,Central/Eastern Europe,0
2020,May,Poland,Europe,Central/Eastern Europe,0
2020,May,Lithuania,Europe,Central/Eastern Europe,0
2020,Nov,Latvia,Europe,Central/Eastern Europe,0
2020,Nov,Kyrgyzstan,Europe,Central/Eastern Europe,0
2020,Nov,Bulgaria,Europe,Central/Eastern Europe,0
2020,Nov,Belarus,Europe,Central/Eastern Europe,0
2020,Nov,Serbia,Europe,Southern/Medit. Europe,0
2020,Nov,Cyprus,Europe,Southern/Medit. Europe,0
2020,Nov,China,Asia and the Pacific,North-East Asia,914
2020,Nov,Hong Kong (China),Asia and the Pacific,North-East Asia,52
2020,Nov,Japan,Asia and the Pacific,North-East Asia,87
2020,Nov,Korea (Republic of),Asia and the Pacific,North-East Asia,96
2020,Nov,Mongolia,Asia and the Pacific,North-East Asia,3
2020,Nov,Taiwan,Asia and the Pacific,North-East Asia,54
2020,Nov,Australia,Asia and the Pacific,Oceania,76
2020,Nov,New Zealand,Asia and the Pacific,Oceania,19
2020,Nov,Other in Oceania,Asia and the Pacific,Oceania,2
2020,Nov,Bhutan,Asia and the Pacific,South Asia,1
2020,Nov,Bangladesh,Asia and the Pacific,South Asia,1
2020,Nov,India,Asia and the Pacific,South Asia,20
2020,Nov,Maldives,Asia and the Pacific,South Asia,1
2020,Nov,Iran,Asia and the Pacific,South Asia,3
2020,Nov,Pakistan,Asia and the Pacific,South Asia,6
2020,Nov,Indonesia,Asia and the Pacific,South-East Asia,6
2020,Nov,Cambodia,Asia and the Pacific,South-East Asia,257
2020,Nov,Croatia,Europe,Southern/Medit. Europe,0
2020,Nov,Luxembourg,Europe,Western Europe,0
2020,Nov,Iceland,Europe,Northern Europe,0
2020,Nov,Sri Lanka,Asia and the Pacific,South Asia,0
2020,Nov,Nepal,Asia and the Pacific,South Asia,0
2020,Nov,Brunei,Asia and the Pacific,South-East Asia,0
2020,Nov,Macao (China),Asia and the Pacific,North-East Asia,0
2020,Nov,Argentina,America,NULL,0
2020,Nov,Other in Middle East,Middle East,NULL,0
2020,Nov,Lebanon,Middle East,NULL,0
2020,Nov,Iraq,Middle East,NULL,0
2020,Nov,Uruguay,America,NULL,0
2020,Nov,Other in Asia,Asia and the Pacific,NULL,0
2020,Nov,North Korea,Asia and the Pacific,North-East Asia,0
2020,Nov,Laos,Asia and the Pacific,South-East Asia,7
2020,Nov,Myanmar,Asia and the Pacific,South-East Asia,1
2020,Nov,Malaysia,Asia and the Pacific,South-East Asia,14
2020,Nov,Philippines,Asia and the Pacific,South-East Asia,11
2020,Nov,Vietnam,Asia and the Pacific,South-East Asia,16
2020,Nov,Singapore,Asia and the Pacific,South-East Asia,64
2020,Nov,Mexico,America,NULL,2
2020,Nov,Canada,America,NULL,73
2020,Nov,The United States of America,America,NULL,133
2020,Nov,Brazil,America,NULL,2
2020,Nov,Chile,America,NULL,1
2020,Nov,Colombia,America,NULL,1
2020,Nov,Other in America,America,NULL,1
2020,Nov,Peru,America,NULL,1
2020,Nov,Morocco,Africa,NULL,2
2020,Nov,Ethiopia,Africa,NULL,3
2020,Nov,South  Africa,Africa,NULL,3
2020,Nov,Kenya,Africa,NULL,1
2020,Nov,Mauritius,Africa,NULL,2
2020,Nov,Other in Africa,Africa,NULL,5
2020,Nov,Bahrain,Middle East,NULL,1
2020,Nov,Egypt,Middle East,NULL,4
2020,Nov,Kuwait,Middle East,NULL,93
2020,Nov,Jordan,Middle East,NULL,1
2020,Nov,Qatar,Middle East,NULL,3
2020,Nov,Oman,Middle East,NULL,5
2020,Nov,Saudi Arabia,Middle East,NULL,3
2020,Nov,U.A.E.,Middle East,NULL,23
2020,Nov,Yemen,Middle East,NULL,1
2020,Nov,Czech Republic,Europe,Central/Eastern Europe,2
2020,Nov,Estonia,Europe,Central/Eastern Europe,1
2020,Nov,Hungary,Europe,Central/Eastern Europe,1
2020,Nov,Kazakhstan,Europe,Central/Eastern Europe,6
2020,Nov,Lithuania,Europe,Central/Eastern Europe,1
2020,Nov,Poland,Europe,Central/Eastern Europe,5
2020,Nov,Romania,Europe,Central/Eastern Europe,1
2020,Nov,Russian Federation,Europe,Central/Eastern Europe,9
2020,Nov,Slovakia,Europe,Central/Eastern Europe,1
2020,Nov,Ukraine,Europe,Central/Eastern Europe,2
2020,Nov,Uzbekistan,Europe,Central/Eastern Europe,1
2020,Nov,Greece,Europe,Southern/Medit. Europe,1
2020,Nov,Israel,Europe,Southern/Medit. Europe,11
2020,Nov,Italy,Europe,Southern/Medit. Europe,10
2020,Nov,Portugal,Europe,Southern/Medit. Europe,3
2020,Nov,Slovenia,Europe,Southern/Medit. Europe,1
2020,Nov,Spain,Europe,Southern/Medit. Europe,13
2020,Nov,Denmark,Europe,Northern Europe,50
2020,Nov,Turkey,Europe,Southern/Medit. Europe,4
2020,Nov,Finland,Europe,Northern Europe,55
2020,Nov,Ireland,Europe,Northern Europe,5
2020,Nov,Norway,Europe,Northern Europe,41
2020,Nov,United Kingdom,Europe,Northern Europe,163
2020,Nov,Sweden,Europe,Northern Europe,94
2020,Nov,Austria,Europe,Western Europe,43
2020,Nov,Belgium,Europe,Western Europe,11
2020,Nov,France,Europe,Western Europe,82
2020,Nov,Germany,Europe,Western Europe,233
2020,Nov,Netherlands,Europe,Western Europe,30
2020,Nov,Switzerland,Europe,Western Europe,106
2020,Nov,Other in Europe,Europe,NULL,1
2020,Oct,Switzerland,Europe,Western Europe,11
2020,Oct,Netherlands,Europe,Western Europe,1
2020,Oct,Germany,Europe,Western Europe,26
2020,Oct,France,Europe,Western Europe,15
2020,Oct,Belgium,Europe,Western Europe,1
2020,Oct,Austria,Europe,Western Europe,2
2020,Oct,United Kingdom,Europe,Northern Europe,27
2020,Oct,Sweden,Europe,Northern Europe,4
2020,Oct,Norway,Europe,Northern Europe,5
2020,Oct,Ireland,Europe,Northern Europe,1
2020,Oct,Denmark,Europe,Northern Europe,1
2020,Oct,Finland,Europe,Northern Europe,4
2020,Oct,Spain,Europe,Southern/Medit. Europe,2
2020,Oct,Turkey,Europe,Southern/Medit. Europe,1
2020,Oct,Italy,Europe,Southern/Medit. Europe,3
2020,Oct,Portugal,Europe,Southern/Medit. Europe,1
2020,Oct,Russian Federation,Europe,Central/Eastern Europe,5
2020,Oct,Poland,Europe,Central/Eastern Europe,1
2020,Oct,Kazakhstan,Europe,Central/Eastern Europe,1
2020,Oct,Yemen,Middle East,NULL,4
2020,Oct,Other in Middle East,Middle East,NULL,3
2020,Oct,Qatar,Middle East,NULL,19
2020,Oct,Lebanon,Middle East,NULL,1
2020,Oct,Oman,Middle East,NULL,30
2020,Oct,Kuwait,Middle East,NULL,89
2020,Oct,Jordan,Middle East,NULL,5
2020,Oct,Iraq,Middle East,NULL,2
2020,Oct,Bahrain,Middle East,NULL,9
2020,Oct,Other in Africa,Africa,NULL,18
2020,Oct,Mauritius,Africa,NULL,7
2020,Oct,Kenya,Africa,NULL,4
2020,Oct,Ethiopia,Africa,NULL,10
2020,Oct,Morocco,Africa,NULL,6
2020,Oct,Brazil,America,NULL,1
2020,Oct,The United States of America,America,NULL,23
2020,Oct,Canada,America,NULL,10
2020,Oct,Vietnam,Asia and the Pacific,South-East Asia,7
2020,Oct,Singapore,Asia and the Pacific,South-East Asia,9
2020,Oct,Philippines,Asia and the Pacific,South-East Asia,2
2020,Oct,Laos,Asia and the Pacific,South-East Asia,1
2020,Oct,Malaysia,Asia and the Pacific,South-East Asia,2
2020,Oct,North Korea,Asia and the Pacific,North-East Asia,0
2020,Oct,South  Africa,Africa,NULL,0
2020,Oct,Other in Asia,Asia and the Pacific,NULL,0
2020,Oct,Other in Europe,Europe,NULL,0
2020,Oct,Uruguay,America,NULL,0
2020,Oct,Other in America,America,NULL,0
2020,Oct,Peru,America,NULL,0
2020,Oct,Colombia,America,NULL,0
2020,Oct,Egypt,Middle East,NULL,0
2020,Oct,Saudi Arabia,Middle East,NULL,0
2020,Oct,U.A.E.,Middle East,NULL,0
2020,Oct,Chile,America,NULL,0
2020,Oct,Argentina,America,NULL,0
2020,Oct,Mexico,America,NULL,0
2020,Oct,Macao (China),Asia and the Pacific,North-East Asia,0
2020,Oct,Brunei,Asia and the Pacific,South-East Asia,0
2020,Oct,Indonesia,Asia and the Pacific,South-East Asia,0
2020,Oct,Myanmar,Asia and the Pacific,South-East Asia,0
2020,Oct,Iceland,Europe,Northern Europe,0
2020,Oct,Luxembourg,Europe,Western Europe,0
2020,Oct,Croatia,Europe,Southern/Medit. Europe,0
2020,Oct,Cambodia,Asia and the Pacific,South-East Asia,231
2020,Oct,Sri Lanka,Asia and the Pacific,South Asia,1
2020,Oct,Maldives,Asia and the Pacific,South Asia,3
2020,Oct,Iran,Asia and the Pacific,South Asia,17
2020,Oct,Nepal,Asia and the Pacific,South Asia,1
2020,Oct,Pakistan,Asia and the Pacific,South Asia,1
2020,Oct,Bhutan,Asia and the Pacific,South Asia,1
2020,Oct,India,Asia and the Pacific,South Asia,5
2020,Oct,Other in Oceania,Asia and the Pacific,Oceania,1
2020,Oct,Bangladesh,Asia and the Pacific,South Asia,2
2020,Oct,New Zealand,Asia and the Pacific,Oceania,4
2020,Oct,Australia,Asia and the Pacific,Oceania,9
2020,Oct,Taiwan,Asia and the Pacific,North-East Asia,12
2020,Oct,Mongolia,Asia and the Pacific,North-East Asia,3
2020,Oct,Korea (Republic of),Asia and the Pacific,North-East Asia,10
2020,Oct,Japan,Asia and the Pacific,North-East Asia,35
2020,Oct,Hong Kong (China),Asia and the Pacific,North-East Asia,16
2020,Oct,China,Asia and the Pacific,North-East Asia,471
2020,Oct,Uzbekistan,Europe,Central/Eastern Europe,0
2020,Oct,Ukraine,Europe,Central/Eastern Europe,0
2020,Oct,Slovakia,Europe,Central/Eastern Europe,0
2020,Oct,Romania,Europe,Central/Eastern Europe,0
2020,Oct,Cyprus,Europe,Southern/Medit. Europe,0
2020,Oct,Greece,Europe,Southern/Medit. Europe,0
2020,Oct,Israel,Europe,Southern/Medit. Europe,0
2020,Oct,Serbia,Europe,Southern/Medit. Europe,0
2020,Oct,Slovenia,Europe,Southern/Medit. Europe,0
2020,Oct,Belarus,Europe,Central/Eastern Europe,0
2020,Oct,Bulgaria,Europe,Central/Eastern Europe,0
2020,Oct,Czech Republic,Europe,Central/Eastern Europe,0
2020,Oct,Hungary,Europe,Central/Eastern Europe,0
2020,Oct,Estonia,Europe,Central/Eastern Europe,0
2020,Oct,Kyrgyzstan,Europe,Central/Eastern Europe,0
2020,Oct,Latvia,Europe,Central/Eastern Europe,0
2020,Oct,Lithuania,Europe,Central/Eastern Europe,0
2020,Sep,Poland,Europe,Central/Eastern Europe,0
2020,Sep,Lithuania,Europe,Central/Eastern Europe,0
2020,Sep,Latvia,Europe,Central/Eastern Europe,0
2020,Sep,Kyrgyzstan,Europe,Central/Eastern Europe,0
2020,Sep,Kazakhstan,Europe,Central/Eastern Europe,0
2020,Sep,Hungary,Europe,Central/Eastern Europe,0
2020,Sep,Estonia,Europe,Central/Eastern Europe,0
2020,Sep,Czech Republic,Europe,Central/Eastern Europe,0
2020,Sep,Bulgaria,Europe,Central/Eastern Europe,0
2020,Sep,Belarus,Europe,Central/Eastern Europe,0
2020,Sep,Spain,Europe,Southern/Medit. Europe,0
2020,Sep,Turkey,Europe,Southern/Medit. Europe,0
2020,Sep,Slovenia,Europe,Southern/Medit. Europe,0
2020,Sep,Serbia,Europe,Southern/Medit. Europe,0
2020,Sep,Italy,Europe,Southern/Medit. Europe,0
2020,Sep,Portugal,Europe,Southern/Medit. Europe,0
2020,Sep,Israel,Europe,Southern/Medit. Europe,0
2020,Sep,Greece,Europe,Southern/Medit. Europe,0
2020,Sep,Cyprus,Europe,Southern/Medit. Europe,0
2020,Sep,Romania,Europe,Central/Eastern Europe,0
2020,Sep,Russian Federation,Europe,Central/Eastern Europe,0
2020,Sep,Slovakia,Europe,Central/Eastern Europe,0
2020,Sep,Ukraine,Europe,Central/Eastern Europe,0
2020,Sep,Uzbekistan,Europe,Central/Eastern Europe,0
2020,Sep,Croatia,Europe,Southern/Medit. Europe,0
2020,Sep,Switzerland,Europe,Western Europe,0
2020,Sep,Luxembourg,Europe,Western Europe,0
2020,Sep,Netherlands,Europe,Western Europe,0
2020,Sep,France,Europe,Western Europe,0
2020,Sep,Germany,Europe,Western Europe,0
2020,Sep,Belgium,Europe,Western Europe,0
2020,Sep,Austria,Europe,Western Europe,0
2020,Sep,Sweden,Europe,Northern Europe,0
2020,Sep,United Kingdom,Europe,Northern Europe,0
2020,Sep,Iceland,Europe,Northern Europe,0
2020,Sep,Denmark,Europe,Northern Europe,0
2020,Sep,Finland,Europe,Northern Europe,0
2020,Sep,Norway,Europe,Northern Europe,0
2020,Sep,Ireland,Europe,Northern Europe,0
2020,Sep,Australia,Asia and the Pacific,Oceania,0
2020,Sep,Pakistan,Asia and the Pacific,South Asia,0
2020,Sep,Sri Lanka,Asia and the Pacific,South Asia,0
2020,Sep,Other in Oceania,Asia and the Pacific,Oceania,0
2020,Sep,New Zealand,Asia and the Pacific,Oceania,0
2020,Sep,Myanmar,Asia and the Pacific,South-East Asia,0
2020,Sep,Philippines,Asia and the Pacific,South-East Asia,0
2020,Sep,Bangladesh,Asia and the Pacific,South Asia,0
2020,Sep,Singapore,Asia and the Pacific,South-East Asia,0
2020,Sep,Vietnam,Asia and the Pacific,South-East Asia,0
2020,Sep,Nepal,Asia and the Pacific,South Asia,0
2020,Sep,Maldives,Asia and the Pacific,South Asia,0
2020,Sep,India,Asia and the Pacific,South Asia,0
2020,Sep,Iran,Asia and the Pacific,South Asia,0
2020,Sep,Bhutan,Asia and the Pacific,South Asia,0
2020,Sep,Laos,Asia and the Pacific,South-East Asia,0
2020,Sep,Indonesia,Asia and the Pacific,South-East Asia,0
2020,Sep,Malaysia,Asia and the Pacific,South-East Asia,0
2020,Sep,Brunei,Asia and the Pacific,South-East Asia,0
2020,Sep,Cambodia,Asia and the Pacific,South-East Asia,0
2020,Sep,Macao (China),Asia and the Pacific,North-East Asia,0
2020,Sep,Korea (Republic of),Asia and the Pacific,North-East Asia,0
2020,Sep,Taiwan,Asia and the Pacific,North-East Asia,0
2020,Sep,Mongolia,Asia and the Pacific,North-East Asia,0
2020,Sep,The United States of America,America,NULL,0
2020,Sep,Mexico,America,NULL,0
2020,Sep,Argentina,America,NULL,0
2020,Sep,Chile,America,NULL,0
2020,Sep,Brazil,America,NULL,0
2020,Sep,U.A.E.,Middle East,NULL,0
2020,Sep,Yemen,Middle East,NULL,0
2020,Sep,Other in Middle East,Middle East,NULL,0
2020,Sep,Canada,America,NULL,0
2020,Sep,Saudi Arabia,Middle East,NULL,0
2020,Sep,Qatar,Middle East,NULL,0
2020,Sep,Oman,Middle East,NULL,0
2020,Sep,Kuwait,Middle East,NULL,0
2020,Sep,Lebanon,Middle East,NULL,0
2020,Sep,Egypt,Middle East,NULL,0
2020,Sep,Bahrain,Middle East,NULL,0
2020,Sep,Iraq,Middle East,NULL,0
2020,Sep,Jordan,Middle East,NULL,0
2020,Sep,Colombia,America,NULL,0
2020,Sep,Peru,America,NULL,0
2020,Sep,Other in America,America,NULL,0
2020,Sep,Uruguay,America,NULL,0
2020,Sep,Morocco,Africa,NULL,0
2020,Sep,South  Africa,Africa,NULL,0
2020,Sep,Other in Europe,Europe,NULL,0
2020,Sep,Other in Asia,Asia and the Pacific,NULL,0
2020,Sep,Ethiopia,Africa,NULL,0
2020,Sep,Kenya,Africa,NULL,0
2020,Sep,Mauritius,Africa,NULL,0
2020,Sep,China,Asia and the Pacific,North-East Asia,0
2020,Sep,Other in Africa,Africa,NULL,0
2020,Sep,North Korea,Asia and the Pacific,North-East Asia,0
2020,Sep,Hong Kong (China),Asia and the Pacific,North-East Asia,0
2020,Sep,Japan,Asia and the Pacific,North-East Asia,0
2021,Apr,North Korea,Asia and the Pacific,North-East Asia,0
2021,Apr,Other in Asia,Asia and the Pacific,NULL,0
2021,Apr,China,Asia and the Pacific,North-East Asia,643
2021,Apr,Hong Kong (China),Asia and the Pacific,North-East Asia,110
2021,Apr,Japan,Asia and the Pacific,North-East Asia,304
2021,Apr,Korea (Republic of),Asia and the Pacific,North-East Asia,373
2021,Apr,Macao (China),Asia and the Pacific,North-East Asia,1
2021,Apr,Mongolia,Asia and the Pacific,North-East Asia,8
2021,Apr,Taiwan,Asia and the Pacific,North-East Asia,98
2021,Apr,Australia,Asia and the Pacific,Oceania,179
2021,Apr,New Zealand,Asia and the Pacific,Oceania,57
2021,Apr,Other in Oceania,Asia and the Pacific,Oceania,3
2021,Apr,Bhutan,Asia and the Pacific,South Asia,7
2021,Apr,Bangladesh,Asia and the Pacific,South Asia,49
2021,Apr,India,Asia and the Pacific,South Asia,103
2021,Apr,Pakistan,Asia and the Pacific,South Asia,45
2021,Apr,Nepal,Asia and the Pacific,South Asia,7
2021,Apr,Iran,Asia and the Pacific,South Asia,26
2021,Apr,Maldives,Asia and the Pacific,South Asia,14
2021,Apr,Sri Lanka,Asia and the Pacific,South Asia,12
2021,Apr,Cambodia,Asia and the Pacific,South-East Asia,79
2021,Apr,Brunei,Asia and the Pacific,South-East Asia,1
2021,Apr,Indonesia,Asia and the Pacific,South-East Asia,92
2021,Apr,Laos,Asia and the Pacific,South-East Asia,19
2021,Apr,Malaysia,Asia and the Pacific,South-East Asia,190
